Transaction_ID,Timestamp,Customer_ID,Amount,Merchant_Category,Distance_from_Home,Device_Type,IP_Risk_Score,Avg_Spending_Habit,Is_Weekend,Is_Night_Transaction,Is_Fraud
TRX-000001,2025-02-06 18:46:00,CUST-1727,1985.97,Luxury_Goods,0.0123,Android,0.89,94.75,0,0,1
TRX-000002,2025-03-25 09:19:00,CUST-1607,30.45,Food_Dining,0.0123,Android,0.85,26.0,0,0,0
TRX-000003,2025-02-17 17:05:00,CUST-1596,10.08,Transport,0.0123,Web_Browser,0.8,103.97,0,0,0
TRX-000004,2025-01-13 08:26:00,CUST-1980,8.2,Food_Dining,0.0123,Android,0.42,92.27,0,0,0
TRX-000005,2025-03-16 08:38:00,CUST-1235,181.07,Electronics,0.0123,Android,0.94,144.05,1,0,0
TRX-000006,2025-03-12 13:32:00,CUST-1293,19.98,Online_Services,0.0123,Android,0.41,87.35,0,0,0
TRX-000007,2025-03-31 04:55:00,CUST-1664,57.35,Groceries,0.0123,iOS,0.96,109.95,0,1,1
TRX-000008,2025-03-28 07:29:00,CUST-1927,9.21,Transport,0.0123,Android,0.06,98.74,0,0,0
TRX-000009,2025-03-20 04:07:00,CUST-1736,94.45,Groceries,0.0123,Android,0.59,144.82,0,1,0
TRX-000010,2025-02-06 20:25:00,CUST-1441,27.19,Transport,0.0123,iOS,0.13,128.07,0,0,0
TRX-000011,2025-03-10 12:39:00,CUST-1167,26.3,Transport,0.0123,iOS,0.89,71.56,0,0,0
TRX-000012,2025-03-20 13:18:00,CUST-1117,10.14,Transport,0.0123,Android,0.56,74.98,0,0,0
TRX-000013,2025-03-22 10:29:00,CUST-1172,73.07,Online_Services,0.0123,Android,0.6,85.06,1,0,0
TRX-000014,2025-02-19 22:58:00,CUST-1787,26.65,Online_Services,0.0123,iOS,0.44,83.41,0,0,0
TRX-000015,2025-03-13 02:06:00,CUST-1928,14.21,Food_Dining,0.0123,iOS,0.57,101.92,0,1,0
TRX-000016,2025-03-13 20:31:00,CUST-1827,26.51,Online_Services,0.0123,Android,0.91,68.59,0,0,0
TRX-000017,2025-01-13 04:32:00,CUST-1374,57.22,Online_Services,0.0123,iOS,0.27,104.03,0,1,0
TRX-000018,2025-01-08 01:37:00,CUST-1740,15.81,Transport,0.0123,Web_Browser,0.07,54.6,0,1,0
TRX-000019,2025-02-07 04:40:00,CUST-1566,25.66,Groceries,0.0123,Android,0.63,110.78,0,1,0
TRX-000020,2025-02-13 23:13:00,CUST-1420,15.05,Transport,0.0123,iOS,0.06,113.34,0,0,0
TRX-000021,2025-02-06 14:21:00,CUST-1373,9.46,Transport,0.0123,Android,0.53,110.41,0,0,0
TRX-000022,2025-02-05 12:41:00,CUST-1431,31.34,Online_Services,0.0123,Android,0.6,142.82,0,0,0
TRX-000023,2025-01-21 20:47:00,CUST-1206,32.58,Groceries,0.0123,Android,0.35,29.49,0,0,0
TRX-000024,2025-01-18 22:24:00,CUST-1399,17.52,Transport,0.0123,Android,0.43,60.14,1,0,0
TRX-000025,2025-01-11 14:44:00,CUST-1010,31.88,Food_Dining,0.0123,iOS,0.06,120.29,1,0,0
TRX-000026,2025-01-10 20:04:00,CUST-1711,61.53,Online_Services,0.0123,iOS,0.86,82.69,0,0,0
TRX-000027,2025-02-20 12:57:00,CUST-1803,13.95,Food_Dining,0.0123,iOS,0.65,98.81,0,0,0
TRX-000028,2025-01-16 05:39:00,CUST-1699,38.24,Online_Services,0.0123,iOS,0.84,126.59,0,0,0
TRX-000029,2025-03-30 02:49:00,CUST-1257,45.13,Online_Services,0.0123,Android,0.05,112.92,1,1,0
TRX-000030,2025-01-17 09:19:00,CUST-1779,26.37,Food_Dining,0.0123,iOS,0.02,78.77,0,0,0
TRX-000031,2025-03-24 19:29:00,CUST-1638,127.25,Online_Services,0.0123,iOS,0.32,78.32,0,0,0
TRX-000032,2025-03-15 09:55:00,CUST-1849,163.52,Groceries,0.0123,Android,0.5,129.78,1,0,0
TRX-000033,2025-02-18 23:48:00,CUST-1377,24.14,Groceries,0.0123,iOS,0.19,85.07,0,0,0
TRX-000034,2025-01-06 03:13:00,CUST-1902,48.7,Groceries,0.0123,iOS,0.7,122.58,0,1,0
TRX-000035,2025-01-09 18:36:00,CUST-1916,56.11,Food_Dining,4.8088,iOS,0.2,111.22,0,0,0
TRX-000036,2025-01-21 09:33:00,CUST-1741,10.63,Food_Dining,0.0123,Web_Browser,0.55,109.93,0,0,0
TRX-000037,2025-02-11 22:44:00,CUST-1696,24.29,Food_Dining,0.0123,Web_Browser,0.27,124.69,0,0,0
TRX-000038,2025-02-23 22:18:00,CUST-1380,15.9,Transport,0.0123,iOS,0.41,105.32,1,0,0
TRX-000039,2025-03-28 01:55:00,CUST-1609,827.71,Electronics,0.0123,iOS,0.57,71.33,0,1,1
TRX-000040,2025-01-30 15:24:00,CUST-1296,53.37,Food_Dining,0.0123,Android,0.27,62.35,0,0,0
TRX-000041,2025-03-20 04:49:00,CUST-1257,66.67,Groceries,0.0123,Android,0.97,55.95,0,1,1
TRX-000042,2025-03-20 14:51:00,CUST-1490,88.85,Groceries,0.0123,iOS,0.07,100.39,0,0,0
TRX-000043,2025-01-03 03:41:00,CUST-1694,411.48,Electronics,0.0123,Android,0.1,158.77,0,1,0
TRX-000044,2025-03-20 15:15:00,CUST-1435,44.33,Groceries,0.0123,iOS,0.88,123.19,0,0,0
TRX-000045,2025-01-05 11:50:00,CUST-1132,19.61,Food_Dining,0.0123,Android,0.61,63.79,1,0,0
TRX-000046,2025-02-13 23:45:00,CUST-1669,30.05,Groceries,0.0123,iOS,0.53,96.96,0,0,0
TRX-000047,2025-01-12 02:30:00,CUST-1511,1005.79,Electronics,0.0123,iOS,0.62,108.12,1,1,1
TRX-000048,2025-01-15 13:12:00,CUST-1307,30.08,Food_Dining,0.0123,iOS,0.58,108.08,0,0,0
