Transaction_ID,Amount,Distance_from_Home,Device_Type,IP_Risk_Score,Is_Night_Transaction,Is_Fraud
0,1985.97,0.0123,0,0.89,0,1
1,30.45,0.0123,0,0.85,0,0
2,10.08,0.0123,1,0.8,0,0
3,8.2,0.0123,0,0.42,0,0
4,181.07,0.0123,0,0.94,0,0
5,19.98,0.0123,0,0.41,0,0
6,57.35,0.0123,2,0.96,1,1
7,9.21,0.0123,0,0.06,0,0
8,94.45,0.0123,0,0.59,1,0
9,27.19,0.0123,2,0.13,0,0
10,26.3,0.0123,2,0.89,0,0
11,10.14,0.0123,0,0.56,0,0
12,73.07,0.0123,0,0.6,0,0
13,26.65,0.0123,2,0.44,0,0
14,14.21,0.0123,2,0.57,1,0
15,26.51,0.0123,0,0.91,0,0
16,57.22,0.0123,2,0.27,1,0
17,15.81,0.0123,1,0.07,1,0
18,25.66,0.0123,0,0.63,1,0
19,15.05,0.0123,2,0.06,0,0
20,9.46,0.0123,0,0.53,0,0
21,31.34,0.0123,0,0.6,0,0
22,32.58,0.0123,0,0.35,0,0
23,17.52,0.0123,0,0.43,0,0
24,31.88,0.0123,2,0.06,0,0
25,61.53,0.0123,2,0.86,0,0
26,13.95,0.0123,2,0.65,0,0
27,38.24,0.0123,2,0.84,0,0
28,45.13,0.0123,0,0.05,1,0
29,26.37,0.0123,2,0.02,0,0
30,127.25,0.0123,2,0.32,0,0
31,163.52,0.0123,0,0.5,0,0
32,24.14,0.0123,2,0.19,0,0
33,48.7,0.0123,2,0.7,1,0
34,56.11,4.8088,2,0.2,0,0
35,10.63,0.0123,1,0.55,0,0
36,24.29,0.0123,1,0.27,0,0
37,15.9,0.0123,2,0.41,0,0
38,827.71,0.0123,2,0.57,1,1
39,53.37,0.0123,0,0.27,0,0
40,66.67,0.0123,0,0.97,1,1
41,88.85,0.0123,2,0.07,0,0
42,411.48,0.0123,0,0.1,1,0
43,44.33,0.0123,2,0.88,0,0
44,19.61,0.0123,0,0.61,0,0
45,30.05,0.0123,2,0.53,0,0
46,1005.79,0.0123,2,0.62,1,1
47,30.08,0.0123,2,0.58,0,0
48,87.11,0.0123,2,0.59,0,0
49,17.01,0.0123,0,0.8,0,0
50,59.22,0.0123,2,0.74,0,0
51,29.35,0.0123,1,0.64,0,0
52,20.45,0.0123,2,0.71,0,0
53,12.74,0.0123,0,0.29,0,0
54,46.23,0.0123,0,0.51,1,0
55,69.88,0.0123,0,0.98,0,0
56,45.89,0.0123,2,0.13,0,0
57,310.54,0.0123,0,0.95,0,0
58,33.48,0.0123,2,0.47,0,0
59,68.65,0.0123,2,0.14,0,0
60,39.93,0.0123,0,0.88,1,1
61,14.14,0.0123,2,0.91,0,0
62,50.94,0.0123,2,0.72,0,0
63,16.06,0.0123,0,0.88,1,1
64,13.29,0.0123,1,0.36,0,0
65,52.53,0.0123,0,0.84,0,0
66,102.47,0.0123,0,0.29,0,0
67,6.48,0.0123,0,0.99,0,0
68,21.55,0.0123,0,0.56,1,0
69,42.9,0.0123,2,0.07,1,0
70,12.08,0.0123,0,0.82,0,0
71,61.89,0.0123,2,0.8,0,0
72,57.58,0.0123,2,0.27,0,0
73,113.11,0.0123,0,0.1,0,0
74,870.69,4.8088,2,0.12,1,1
75,55.56,0.0123,2,0.4,0,0
76,27.16,0.0123,2,0.56,0,0
77,114.98,0.0123,2,0.69,1,0
78,28.15,0.0123,0,0.1,0,0
79,33.59,0.0123,0,0.91,0,0
80,48.28,0.0123,2,0.53,0,0
81,17.26,0.0123,2,0.99,1,1
82,65.84,0.0123,2,0.86,1,1
83,15.49,0.0123,2,0.63,0,0
84,2165.79,0.0123,0,0.09,0,1
85,57.44,0.0123,2,0.22,0,0
86,502.6,0.0123,1,0.89,0,0
87,426.51,0.0123,2,0.71,0,0
88,645.45,0.0123,0,0.04,0,0
89,663.63,4.8088,0,0.7,0,1
90,11.26,0.0123,2,0.1,1,0
91,19.23,0.0123,0,0.11,0,0
92,21.61,0.0123,0,0.63,0,0
93,12.06,0.0123,0,0.36,0,0
94,56.1,4.8088,1,0.0,0,0
95,411.21,0.0123,2,0.89,1,1
96,44.91,0.0123,0,0.42,1,0
97,79.18,0.0123,0,0.24,0,0
98,16.23,0.0123,2,0.81,0,0
99,74.3,0.0123,2,0.12,0,0
100,74.95,0.0123,1,0.77,0,0
101,25.17,0.0123,0,0.03,0,0
102,39.01,0.0123,2,0.53,0,0
103,317.88,0.0123,2,0.47,0,0
104,34.1,0.0123,2,0.64,0,0
105,8.78,0.0123,0,0.21,0,0
106,12.06,0.0123,2,0.48,0,0
107,8.61,0.0123,0,0.4,0,0
108,85.44,0.0123,0,0.13,1,0
109,30.4,0.0123,0,0.92,1,1
110,26.93,0.0123,0,0.59,1,0
111,49.58,4.8088,0,0.62,0,0
112,90.63,0.0123,2,0.77,0,0
113,48.69,0.0123,0,0.46,0,0
114,16.04,0.0123,0,0.64,0,0
115,9.04,0.0123,1,0.62,0,0
116,38.98,0.0123,0,0.06,0,0
117,1949.83,0.0123,0,0.22,0,1
118,45.57,0.0123,2,0.98,1,1
119,63.85,0.0123,2,0.3,0,0
120,23.54,0.0123,2,0.54,0,0
121,26.25,0.0123,2,0.43,0,0
122,2703.64,0.0123,2,0.05,0,1
123,315.48,0.0123,0,0.51,0,0
124,19.56,0.0123,0,0.55,1,0
125,28.93,0.0123,2,0.01,1,0
126,44.79,0.0123,0,0.11,0,0
127,26.5,0.0123,2,0.34,1,0
128,56.94,0.0123,0,0.47,0,0
129,22.77,0.0123,0,0.44,0,0
130,119.08,0.0123,0,0.65,0,0
131,36.96,0.0123,1,0.84,0,0
132,37.11,0.0123,0,0.44,0,0
133,373.84,0.0123,0,0.39,0,0
134,12.86,0.0123,0,0.48,1,0
135,59.07,0.0123,0,0.61,0,0
136,8.71,0.0123,0,0.56,0,0
137,45.28,0.0123,0,0.36,0,0
138,14.22,0.0123,2,0.2,1,0
139,787.96,0.0123,1,0.86,0,1
140,13.37,0.0123,1,0.91,1,1
141,26.94,0.0123,2,0.58,1,0
142,14.24,0.0123,0,0.21,1,0
143,29.98,0.0123,2,0.13,0,0
144,1002.09,0.0123,2,0.54,0,0
145,555.83,0.0123,2,0.49,0,0
146,23.29,0.0123,0,0.68,0,0
147,313.56,0.0123,0,0.21,0,0
148,17.75,0.0123,0,0.58,0,0
149,7.98,0.0123,2,0.55,1,0
150,46.42,0.0123,0,0.53,1,0
151,40.48,0.0123,1,0.88,0,0
152,88.0,0.0123,0,0.4,0,0
153,385.57,0.0123,0,0.73,1,1
154,54.64,0.0123,2,0.1,0,0
155,17.83,4.8088,2,0.23,0,0
156,39.76,0.0123,2,0.26,0,0
157,99.68,0.0123,0,0.57,0,0
158,42.74,0.0123,1,0.66,0,0
159,124.4,0.0123,0,0.81,1,1
160,52.19,0.0123,2,0.61,0,0
